"","HomePlanet","CryoSleep","deck","num","side","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","Transported"
"1","Europa","0","B",0,"P","TRAPPIST-1e",39,"0",0,0,0,0,0,"0"
"2","Earth","0","F",0,"S","TRAPPIST-1e",24,"0",109,9,25,549,44,"1"
"3","Europa","0","A",0,"S","TRAPPIST-1e",58,"1",43,3576,0,6715,49,"0"
"4","Europa","0","A",0,"S","TRAPPIST-1e",33,"0",0,1283,371,3329,193,"0"
"5","Earth","0","F",1,"S","TRAPPIST-1e",16,"0",303,70,151,565,2,"1"
"6","Earth","0","F",0,"P","PSO J318.5-22",44,"0",0,483,0,291,0,"1"
"7","Earth","0","F",2,"S","TRAPPIST-1e",26,"0",42,1539,3,0,0,"1"
"8","Earth","1","G",0,"S","TRAPPIST-1e",28,"0",0,0,0,0,0,"1"
"9","Earth","0","F",3,"S","TRAPPIST-1e",35,"0",0,785,17,216,0,"1"
"10","Europa","1","B",1,"P","55 Cancri e",14,"0",0,0,0,0,0,"1"
"11","Europa","1","B",1,"P","TRAPPIST-1e",34,"0",0,0,0,0,0,"1"
"12","Europa","0","B",1,"P","55 Cancri e",45,"0",39,7295,589,110,124,"1"
"13","Mars","0","F",1,"P","TRAPPIST-1e",32,"0",73,0,1123,0,113,"1"
"14","Earth","0","G",1,"S","TRAPPIST-1e",48,"0",719,1,65,0,24,"0"
"15","Earth","0","F",2,"P","TRAPPIST-1e",28,"0",8,974,12,2,7,"1"
"16","Earth","0","F",1792,"P","TRAPPIST-1e",31,"0",32,0,876,0,0,"0"
"17","Mars","0","F",3,"P","55 Cancri e",27,"0",1286,122,158,0,0,"0"
"18","Earth","0","F",4,"P","55 Cancri e",24,"0",0,1,0,0,637,"0"
"19","Mars","1","F",5,"P","TRAPPIST-1e",45,"0",0,0,0,0,0,"1"
"20","Earth","0","G",0,"P","TRAPPIST-1e",0,"0",0,0,0,0,0,"1"
"21","Earth","0","F",6,"P","55 Cancri e",14,"0",412,0,1,0,679,"0"
"22","Earth","1","E",0,"S","TRAPPIST-1e",1,"0",0,0,0,0,0,"0"
"23","Earth","1","E",0,"S","55 Cancri e",49,"0",0,0,0,0,0,"0"
"24","Earth","1","E",0,"S","55 Cancri e",29,"0",0,0,0,0,0,"0"
"25","Earth","0","E",0,"S","TRAPPIST-1e",10,"0",0,0,0,0,0,"1"
"26","Earth","1","E",0,"S","PSO J318.5-22",1,"0",0,0,0,0,0,"0"
"27","Earth","0","E",0,"S","TRAPPIST-1e",7,"0",0,0,0,0,0,"0"
"28","Mars","0","D",0,"P","TRAPPIST-1e",21,"0",980,2,69,0,0,"0"
"29","Europa","1","C",2,"S","TRAPPIST-1e",62,"0",0,0,0,0,0,"1"
"30","Earth","0","F",6,"S","TRAPPIST-1e",15,"0",0,225,0,998,0,"0"
"31","Europa","0","C",0,"P","55 Cancri e",34,"0",22,6073,0,1438,328,"0"
"32","Mars","0","F",8,"P","TRAPPIST-1e",43,"0",1125,0,136,48,0,"0"
"33","Earth","0","G",4,"S","TRAPPIST-1e",32,"0",0,850,81,437,453,"0"
"34","Mars","0","F",9,"P","TRAPPIST-1e",47,"0",214,0,1411,0,1229,"1"
"35","Mars","0","F",9,"P","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
"36","Mars","0","F",9,"P","TRAPPIST-1e",20,"0",748,0,1750,990,0,"1"
"37","Europa","1","D",1,"S","55 Cancri e",28,"0",0,0,0,0,0,"1"
"38","Mars","0","D",1,"P","55 Cancri e",23,"0",784,964,0,951,0,"0"
"39","Earth","0","F",8,"S","55 Cancri e",15,"0",0,492,48,20,401,"0"
"40","Earth","0","F",10,"S","55 Cancri e",20,"0",554,195,0,2606,0,"0"
"41","Earth","1","G",1,"P","55 Cancri e",30,"0",0,0,0,0,0,"0"
"42","Earth","1","G",2,"P","TRAPPIST-1e",17,"0",0,0,0,0,0,"1"
"43","Europa","0","B",3,"P","TRAPPIST-1e",45,"0",0,164,45,2511,855,"0"
"44","Earth","1","G",3,"P","TRAPPIST-1e",55,"0",0,0,0,0,0,"0"
"45","Earth","1","G",3,"P","55 Cancri e",4,"0",0,0,0,0,0,"1"
"46","Earth","1","G",3,"P","PSO J318.5-22",21,"0",0,0,0,0,0,"1"
"47","Mars","0","F",10,"P","TRAPPIST-1e",21,"0",970,0,180,0,64,"0"
"48","Mars","1","F",10,"P","55 Cancri e",19,"0",0,0,0,0,0,"1"
"49","Earth","0","E",1,"S","55 Cancri e",35,"0",790,0,0,30,0,"0"
"50","Earth","0","E",2,"S","TRAPPIST-1e",56,"0",0,112,0,1379,127,"0"
"51","Earth","0","G",6,"S","TRAPPIST-1e",22,"0",4,0,2,4683,0,"0"
"52","Earth","0","F",11,"S","TRAPPIST-1e",25,"0",0,0,1938,0,1,"1"
"53","Europa","0","A",1,"S","TRAPPIST-1e",2,"0",0,0,0,0,0,"1"
